artist,track,release_title,release_year,label,release_id,duration
Djuma Soundsystem,Les Djins (Trentemøller Remix),Mashed 4,2008,Ministry Of Sound,3276190,
Kissy Sell Out,HER (DJ Touche Mix),Mashed 4,2008,Ministry Of Sound,3276190,2:53
Utah Saints,Something Good 08 (High Contrast Mix),Mashed 4,2008,Ministry Of Sound,3276190,3:02
U.T.I,I'm Finished,Mashed 4,2008,Ministry Of Sound,3276190,5:33
Cut Copy,Lights & Music (Boys Noize Mix),Mashed 4,2008,Ministry Of Sound,3276190,2:42
Hot Chip,Ready For The Floor,Mashed 4,2008,Ministry Of Sound,3276190,2:30
The Bumblebeez,Dr Love (Trizzy's Free I-Phone Mix),Mashed 4,2008,Ministry Of Sound,3276190,2:44
The Presets (2),This Boy's In Love,Mashed 4,2008,Ministry Of Sound,3276190,2:41
PNAU,Baby,Mashed 4,2008,Ministry Of Sound,3276190,3:45
"Nick Coleman, T-Rek",Van Bam,Mashed 4,2008,Ministry Of Sound,3276190,1:37
Terry Poison,24 Hours (The Aston Shuffle A-Bomb Remix),Mashed 4,2008,Ministry Of Sound,3276190,3:57
The Knife,Heartbeats (The Knife Techno Remix),Mashed 4,2008,Ministry Of Sound,3276190,1:31
The Subs,Kiss My Trance,Mashed 4,2008,Ministry Of Sound,3276190,3:23
The Aston Shuffle,For Everyone (Mo'fuckin Kool Aid-apella),Mashed 4,2008,Ministry Of Sound,3276190,
LCD Soundsystem,Get Innocuous! (Soulwax Remix),Mashed 4,2008,Ministry Of Sound,3276190,4:22
"Does It Offend You, Yeah?",We Are Rockstars,Mashed 4,2008,Ministry Of Sound,3276190,2:32
VHS Or Beta,Burn It All Down (Surkin Remix),Mashed 4,2008,Ministry Of Sound,3276190,2:58
"Super Mal, Luciana Caporaso",Bigger Than Big (Bag Raiders Remix),Mashed 4,2008,Ministry Of Sound,3276190,3:04
Cobra Dukes,Leave The Light On (The Twelves Remix),Mashed 4,2008,Ministry Of Sound,3276190,2:15
Mr. Oizo,Half An Edit,Mashed 4,2008,Ministry Of Sound,3276190,1:39
Alter Ego,Fuckingham Palace,Mashed 4,2008,Ministry Of Sound,3276190,1:11
Dan Le Sac Vs Scroobius Pip,Thou Shalt Always Kill (Acapella),Mashed 4,2008,Ministry Of Sound,3276190,
Róisín Murphy,You Know Me Better (Trevor Loveys Dub),Mashed 4,2008,Ministry Of Sound,3276190,2:00
The Bird And The Bee,Fucking Boyfriend (Peaches Remix),Mashed 4,2008,Ministry Of Sound,3276190,2:30
"Bass Kleph, Anthony Paul",Helium,Mashed 4,2008,Ministry Of Sound,3276190,1:44
Ben Westbeech,Dance With Me (Switch Remix),Mashed 4,2008,Ministry Of Sound,3276190,2:37
Matthew Herbert,Moving Like A Train (Smith & Hack Remix),Mashed 4,2008,Ministry Of Sound,3276190,0:45
Brabe,Hold You Here,Mashed 4,2008,Ministry Of Sound,3276190,0:38
Daft Punk,Prime Time Of Your Life (Para One Remix),Mashed 4,2008,Ministry Of Sound,3276190,3:29
Etienne Daho,Le Grand Sommeil (Sweetlight Remix),Mashed 4,2008,Ministry Of Sound,3276190,2:15
Joakim,Come Into My Kitchen,Mashed 4,2008,Ministry Of Sound,3276190,1:55
The Juan Maclean,Happy House,Mashed 4,2008,Ministry Of Sound,3276190,3:33
Joakim,Lonely Hearts (Acapella),Mashed 4,2008,Ministry Of Sound,3276190,
Nôze,Remember Love,Mashed 4,2008,Ministry Of Sound,3276190,3:30
