artist,track,release_title,release_year,label,release_id,duration
Amber,Above The Clouds (Thunderpuss Remix),The Hits Remixed,2000,Ministry Of Sound,218383,5:56
Amber,Taste The Tears (Thunderpuss Remix),The Hits Remixed,2000,Ministry Of Sound,218383,3:38
Amber,Love One Another (Mystica Remix),The Hits Remixed,2000,Ministry Of Sound,218383,3:34
Amber,Sexual (Li Da Di) (Plasma Trance Remix),The Hits Remixed,2000,Ministry Of Sound,218383,4:14
"Delerium, Sarah McLachlan",Silence (Sanctuary Mix),House All Stars,2001,Ministry Of Sound,355311,4:42
Schiller,Das Glockenspiel,House All Stars,2001,Ministry Of Sound,355311,5:07
"ATB, York",The Fields Of Love (Darude Remix),House All Stars,2001,Ministry Of Sound,355311,3:46
Zombie Nation,Kernkraft 400,House All Stars,2001,Ministry Of Sound,355311,4:34
Black Legend,You See The Trouble With Me,House All Stars,2001,Ministry Of Sound,355311,4:22
"ATFC, OnePhatDeeva, Lisa Millett",Bad Habit,House All Stars,2001,Ministry Of Sound,355311,5:32
Baby Bumps,I Got This Feeling (Original Mix),House All Stars,2001,Ministry Of Sound,355311,5:51
The Love Bite,Take Your Time (Illicit Remix),House All Stars,2001,Ministry Of Sound,355311,4:26
Sunlight,Set Me Free (Phatts & Small Mutant Disco Remix),House All Stars,2001,Ministry Of Sound,355311,4:10
Love Connection,The Bomb,House All Stars,2001,Ministry Of Sound,355311,4:01
Warrior,Warrior (Club Mix),House All Stars,2001,Ministry Of Sound,355311,4:12
Aurora,Ordinary World (Condor Remix),House All Stars,2001,Ministry Of Sound,355311,6:30
Gigi D'Agostino,I'll Fly With You (Johnny Vicious Remix),House All Stars,2001,Ministry Of Sound,355311,5:28
Fragma,Toca's Miracle (Original Club Mix),House All Stars,2001,Ministry Of Sound,355311,3:57
York,On The Beach (CRW Mix),House All Stars,2001,Ministry Of Sound,355311,5:51
Wisdome,Off The Wall (Enjoy Yourself) (Pussy 2000 Remix),House All Stars,2001,Ministry Of Sound,355311,5:08
Madison Avenue,Don't Call Me Baby (Original Mix),House All Stars,2001,Ministry Of Sound,355311,5:40
Junior Jack,My Feeling,House All Stars,2001,Ministry Of Sound,355311,3:06
House Of Glass,Disco Down,House All Stars,2001,Ministry Of Sound,355311,5:30
Club Fiesta,La Fiesta (Nerio's Dubwork Vocal Mix),House All Stars,2001,Ministry Of Sound,355311,4:38
Mauro Picotto,Komodo (Megavoices Claxixx Remix),House All Stars,2001,Ministry Of Sound,355311,5:05
Marc Et Claude,I Need Your Lovin' (Like The Sunshine),House All Stars,2001,Ministry Of Sound,355311,5:05
Blank & Jones,The Nightfly (Original Mix),House All Stars,2001,Ministry Of Sound,355311,4:34
Soul Providers,Rise,House All Stars,2001,Ministry Of Sound,355311,5:19
